"fips","less_12","college","total_persons","year"
"12093",8794,2452,23224,1990
"12095",315639,414557,1787471,1990
"12097",62167,29000,252899,1990
"12099",512713,702424,2929247,1990
"12101",293363,74861,881959,1990
"12103",684416,630362,3319340,1990
"12105",284075,151037,999270,1990
"12107",13676,4045,43456,1990
"12109",24621,50306,169776,1990
"12111",112187,66037,479884,1990
"12113",30414,31978,154869,1990
"12115",196575,251136,1112771,1990
"12117",115684,235513,870402,1990
"12119",8694,1959,25088,1990
"12121",6255,1637,17984,1990
"12123",4240,1511,11929,1990
"12125",1715,549,6002,1990
"12127",272930,181065,1205537,1990
"12129",2274,882,8267,1990
"12131",7651,3071,23918,1990
"12133",4861,984,12544,1990
"12NA",7332526,6437596,31956308,1990
"12001",40430,140692,340400,1990
"12003",3994,743,11568,1990
"12005",83420,64424,370643,1990
"12007",8387,2488,26921,1990
"12009",224674,285431,1372870,1990
"12011",913439,899678,4532666,1990
"12013",3080,648,7325,1990
"12015",74412,44428,316978,1990
"12017",30749,10481,98648,1990
"12019",38467,51919,256055,1990
"12021",81168,114828,484509,1990
"12023",8265,3758,29140,1990
"12025",1859543,1181586,5677323,1990
"12027",7726,1647,18978,1990
"12029",3138,532,7707,1990
"12031",433135,456295,2246399,1990
"12033",141407,144806,694130,1990
"12035",6735,5854,34024,1990
"12037",3473,1088,8434,1990
"12039",7292,4609,28860,1990
"12041",2471,491,6697,1990
"12043",2414,447,6199,1990
"12045",2665,1017,9249,1990
"12047",1903,500,5384,1990
"12049",5664,1321,13639,1990
"12051",5964,2266,16785,1990
"12053",87093,28647,300901,1990
"12055",18019,7040,60972,1990
"12057",512795,528138,2380311,1990
"12059",5115,950,11941,1990
"12061",46071,51710,238844,1990
"12063",9268,3603,27181,1990
"12065",1269,1027,5146,1990
"12067",1251,184,3357,1990
"12069",43020,21995,159369,1990
"12071",233683,187397,1098149,1990
"12073",92393,378535,911126,1990
"12075",40103,9687,114173,1990
"12077",8658,1713,21144,1990
"12079",15136,6024,46607,1990
"12081",362412,256556,1593282,1990
"12083",312851,135983,1103193,1990
"12085",137168,162028,767185,1990
"12087",81224,90737,428303,1990
"12089",58276,26895,214864,1990
"12091",123150,199001,879554,1990
"12093",47128,13180,124828,1990
"12095",699927,904757,3933407,1990
"12097",158221,71972,637151,1990
"12099",1107853,1492270,6287975,1990
"12101",699047,187181,2123347,1990
"12103",1416074,1306226,6876602,1990
"12105",706811,346757,2428734,1990
"12107",83312,23587,263062,1990
"12109",81129,128792,488028,1990
"12111",240341,140857,1021498,1990
"12113",92094,87982,448845,1990
"12115",419049,531468,2366507,1990
"12117",251608,510691,1882842,1990
"12119",47130,11073,138086,1990
"12121",37251,9551,108350,1990
"12123",23860,7199,66475,1990
"12125",9959,3147,35804,1990
"12127",608774,397215,2653865,1990
"12129",14808,5922,55259,1990
"12131",43201,16439,132032,1990
"12133",26461,5448,69916,1990
"13NA",1797274,2165989,8328350,1990
"13001",23662,5017,57269,1990
"13003",9232,1477,20298,1990
"13005",14732,2762,36940,1990
"13007",3170,1127,8408,1990
"13009",28159,21034,112987,1990
"13011",19240,2967,44646,1990
"13013",52950,13988,137448,1990
"13015",93486,20858,230424,1990
"13017",20732,4746,53118,1990
"13019",24389,4577,58671,1990
"13021",149254,141178,632460,1990
"13023",12696,4860,37828,1990
"13025",15506,2756,44704,1990
"13027",13405,4705,43710,1990
"13029",15402,7549,56589,1990
"13031",30000,30101,121546,1990
"13033",13686,6567,46292,1990
