"fips","year","new_total_mds"
"20195",2015,2
"20197",2015,3
"20199",2015,0
"20201",2015,4
"20203",2015,2
"20205",2015,9
"20207",2015,0
"20209",2015,556
"21001",2015,9
"21003",2015,5
"21005",2015,15
"21007",2015,0
"21009",2015,94
"21011",2015,3
"21013",2015,26
"21015",2015,172
"21017",2015,19
"21019",2015,192
"21021",2015,88
"21023",2015,2
"21025",2015,16
"21027",2015,9
"21029",2015,33
"21031",2015,2
"21033",2015,10
"21035",2015,62
"21037",2015,154
"21039",2015,1
"21041",2015,3
"21043",2015,7
"21045",2015,2
"21047",2015,108
"21049",2015,49
"21051",2015,10
"21053",2015,6
"21055",2015,5
"21057",2015,4
"21059",2015,192
"21061",2015,2
"21063",2015,0
"21065",2015,7
"21067",2015,2175
"21069",2015,10
"21071",2015,51
"21073",2015,47
"21075",2015,6
"21077",2015,4
"21079",2015,8
"21081",2015,13
"21083",2015,25
"21085",2015,32
"21087",2015,3
"21089",2015,30
"21091",2015,0
"21093",2015,185
"21095",2015,30
"21097",2015,20
"21099",2015,8
"21101",2015,60
"21103",2015,12
"21105",2015,1
"21107",2015,137
"21109",2015,3
"21111",2015,3581
"21113",2015,119
"21115",2015,30
"21117",2015,444
"21119",2015,7
"21121",2015,8
"21123",2015,3
"21125",2015,77
"21127",2015,8
"21129",2015,2
"21131",2015,2
"21133",2015,25
"21135",2015,3
"21137",2015,14
"21139",2015,7
"21141",2015,15
"21143",2015,3
"21145",2015,215
"21147",2015,7
"21149",2015,3
"21151",2015,122
"21153",2015,4
"21155",2015,20
"21157",2015,22
"21159",2015,4
"21161",2015,41
"21163",2015,7
"21165",2015,2
"21167",2015,9
"21169",2015,1
"21171",2015,5
"21173",2015,22
"21175",2015,7
"21177",2015,22
"21179",2015,38
"21181",2015,5
"21183",2015,12
"21185",2015,134
"21187",2015,4
"21189",2015,0
"21191",2015,4
"21193",2015,74
"21195",2015,147
"21197",2015,3
"21199",2015,137
"21201",2015,1
"21203",2015,9
"21205",2015,57
"21207",2015,10
"21209",2015,56
"21211",2015,61
"21213",2015,9
"21215",2015,15
"21217",2015,35
"21219",2015,1
"21221",2015,5
"21223",2015,2
"21225",2015,6
"21227",2015,286
"21229",2015,7
"21231",2015,9
"21233",2015,1
"21235",2015,65
"21237",2015,4
"21239",2015,59
"22001",2015,44
"22003",2015,10
"22005",2015,114
"22007",2015,6
"22009",2015,21
"22011",2015,29
"22013",2015,4
"22015",2015,172
"22017",2015,1693
"22019",2015,400
"22021",2015,5
"22023",2015,1
"22025",2015,2
"22027",2015,7
"22029",2015,11
"22031",2015,10
"22033",2015,1697
"22035",2015,4
"22037",2015,16
"22039",2015,36
"22041",2015,10
"22043",2015,6
"22045",2015,102
"22047",2015,22
"22049",2015,5
"22051",2015,1984
"22053",2015,26
"22055",2015,849
"22057",2015,167
"22059",2015,10
"22061",2015,88
"22063",2015,53
"22065",2015,6
"22067",2015,22
"22069",2015,45
"22071",2015,2837
"22073",2015,409
"22075",2015,20
"22077",2015,15
"22079",2015,378
"22081",2015,4
"22083",2015,20
"22085",2015,8
"22087",2015,18
"22089",2015,44
"22091",2015,3
"22093",2015,14
"22095",2015,37
"22097",2015,123
"22099",2015,25
"22101",2015,54
"22103",2015,836
"22105",2015,148
"22107",2015,1
"22109",2015,200
"22111",2015,5
"22113",2015,42
